db_id,artist_name,spotify_id
5e00ed53-6988-41c7-be08-b7f3cf2b46ec,Barzek,7h1pW3dxGdsnX6sOKkRWkT
2eddc5eb-dcef-470a-9a6e-2e574614d278,Jethimself,7LWHzPREhFBD9p6Wnigkli
f5d33876-ce2f-40ef-9445-1779ea894108,AUDIA,4qGtx1genwvagRTsEhU8oB
9f9e97e8-854d-4440-b196-1f6b23f384e1,Curbi,2XiiUuK68XNdHaHOAF5hnT
73bdcaec-b46e-485d-a035-bde7218c5a2c,vangran,4wWVNHRj2ZP8bXo4OWu0eg
5e3d22a5-8e36-4a97-8fba-459eda97b88e,Dror,31BRzHwH9Ayqp5AbRDk9kO
f57c23f8-a3d0-4cb4-a232-eda43a3dacff,Hausman,1jD9rZnKHp1tqnYMxSxkiQ
301f4ded-de99-410a-ab95-791d65664005,Deagon,34h3uv9dVLZqv4chYpSXWw
1b98313a-e8ea-4659-8669-7bc2610d5952,G-REX,0ZpPLGn0OkRMl2Y9Twn16K
a3913772-2bd5-472f-875e-2b8bc0114168,Popeska,4Td7DjmnDqvSDBHtuJomoF
575d3c75-06df-4aa2-8b0c-7eabfe7709ad,CHYL,15HOfHbNWedCAcJ3Cm1mbc
26c93fee-3b8f-4db7-8799-01f7d3ec104d,ZUSHI,4TEtKIGm8DIkdq2LGFlBaw
3dc14a2c-22b2-43d6-95ed-559761254a27,SLUMBERJACK,55BFQS36sJYz2B0ClypIvS
4c2b7da7-b510-405e-ac0f-5f1ee790beba,Tails,007nYTXRhZJUZGH7ct5Y3v
71f7c01f-c7b6-4f00-b8f9-4d3fd55f2ddc,Fractal,5XkWlDmNLDZA8MiOaRm6HQ
00ee7b56-f540-42d9-a961-acac9af1cef9,Savoy,25vU5DYwHIHhg1ViWV3SJq
316f9a9e-0574-4b57-9d0a-f15253a848cd,Mango,5x6H8meBBWk6J8qcIWxW7w
a9876b26-dbdb-4a60-ad74-7e35d7f4f7e6,劉美麟,5VjJhwgGrlT9YJCEPoAL3G
011f267a-effd-46ef-aac1-6723bfd7c82e,Akylla,5Ad8YPmqQf2tay2SZ8NxWY
e236d060-a7a6-4ade-b14c-0a934ced30fe,SKUM,3hXFd22CK7momnB40jiq9Z
61079fbc-dd63-403a-bc25-1e90ca3a5a6d,Kotek,5JD5mJBIRz9pisqHn7SM7W
fe0a7cc6-725b-411a-80e2-247783aa2675,Versa,7lm6PfYsdEvxXIqA5LaCA3
2095cccd-908d-4915-a91d-cab3f04e6c5e,Caster,4z7OnrBHTHdfpjNKl7NGox
3a2594de-fb19-485c-864b-06db36975508,Story Untold,0BOXARfvlX6FdiyMJUUn1Z
